    Step 	 <(r-r')^2> 	 <(v-v')^2> 
353	2.4936e-08	1.8497e-06
354	2.54185e-08	1.92117e-06
355	2.59042e-08	1.98469e-06
356	2.64254e-08	2.02785e-06
357	2.6839e-08	2.0541e-06
358	2.73727e-08	2.0737e-06
359	2.79295e-08	2.0891e-06
360	2.84463e-08	2.09357e-06
361	2.90306e-08	2.08702e-06
362	2.96286e-08	2.07304e-06
363	3.03196e-08	2.05667e-06
364	3.09404e-08	2.04535e-06
365	3.15766e-08	2.04884e-06
366	3.22243e-08	2.0749e-06
367	0.0237227	2.12251e-06
368	3.3451e-08	2.1831e-06
369	3.41298e-08	2.24824e-06
370	3.48186e-08	2.3124e-06
371	3.55181e-08	2.3722e-06
372	3.6205e-08	2.42608e-06
373	3.69247e-08	2.47544e-06
374	3.76706e-08	2.5233e-06
375	3.85769e-08	2.57406e-06
376	3.9338e-08	2.63143e-06
377	4.01301e-08	2.69524e-06
378	4.09185e-08	2.76451e-06
379	4.17211e-08	2.83639e-06
380	4.25384e-08	2.90201e-06
381	4.33705e-08	2.9511e-06
382	4.42176e-08	2.99351e-06
383	4.50576e-08	2.99229e-06
384	4.5934e-08	3.00608e-06
385	4.68254e-08	3.04793e-06
386	4.77318e-08	3.10747e-06
387	4.86533e-08	3.18808e-06
388	4.95902e-08	3.30118e-06
389	5.05425e-08	3.38912e-06
390	5.15106e-08	3.46726e-06
391	5.24947e-08	3.54271e-06
392	5.34949e-08	3.60804e-06
393	5.45113e-08	3.6645e-06
394	5.5544e-08	3.72291e-06
395	5.65878e-08	3.79421e-06
396	5.74843e-08	3.88528e-06
397	5.85613e-08	4.00557e-06
398	5.88993e-08	4.15552e-06
399	6.00051e-08	4.32114e-06
400	6.11275e-08	4.48846e-06
401	6.22664e-08	4.65422e-06
402	6.34218e-08	4.8218e-06
403	6.4594e-08	4.99157e-06
404	6.57832e-08	5.14728e-06
405	6.699e-08	5.26761e-06
406	6.81975e-08	5.38537e-06
407	6.94393e-08	5.53562e-06
408	7.0705e-08	5.70861e-06
