    Step 	 <r-r'>^2 	 <v-v'>^2 
663	10.8991	1.82431
664	11.1191	1.84171
665	10.9977	1.85089
666	11.0401	1.85312
667	10.9642	1.84781
668	10.9257	1.82566
669	10.873	1.79609
670	10.8848	1.7641
671	10.8807	1.73727
672	10.9533	1.72079
673	11.0386	1.70739
674	11.022	1.69199
675	11.0226	1.67178
676	11.0771	1.64952
677	11.1195	1.62966
678	11.0257	1.61589
679	11.2134	1.60446
680	11.0892	1.5943
681	11.0548	1.59086
682	11.0007	1.59883
683	11.0402	1.61427
684	10.8983	1.62629
685	10.9683	1.63046
686	10.7693	1.63171
687	10.911	1.63172
688	10.8946	1.63571
689	10.9365	1.64342
690	10.9226	1.65488
691	10.9224	1.67095
692	11.083	1.68867
693	11.169	1.70136
694	11.1168	1.70531
695	11.1256	1.6988
696	11.1234	1.68783
697	11.118	1.6773
698	11.1985	1.66798
699	11.0943	1.65887
700	11.0934	1.64951
701	11.0466	1.63978
702	10.9173	1.62905
703	10.9309	1.6167
704	11.0549	1.60597
705	11.1915	1.59775
706	10.9536	1.59815
707	11.2176	1.60428
708	11.276	1.6133
709	11.2209	1.6265
710	11.3204	1.64172
711	11.3382	1.65738
712	11.3539	1.67294
713	11.3473	1.68292
714	11.1891	1.68058
715	11.1185	1.66933
716	11.195	1.65054
717	11.3291	1.6268
718	11.3304	1.6021
719	11.2164	1.57281
720	11.3602	1.55123
721	11.4467	1.53912
722	11.5351	1.53485
723	11.5676	1.53424
724	11.6432	1.53679
725	11.608	1.53929
726	11.603	1.53915
727	11.7249	1.53814
728	11.7869	1.53815
729	11.6978	1.54139
730	11.7824	1.54767
731	11.7426	1.55419
732	11.7195	1.55598
733	11.7671	1.54946
734	11.8232	1.54035
735	11.8562	1.53644
736	11.8555	1.53833
737	11.8548	1.54288
738	11.9732	1.55218
739	12.054	1.56553
740	11.9494	1.58232
741	11.9016	1.59757
742	11.9283	1.60744
743	11.8495	1.61069
744	11.8483	1.60871
